Last instance period =     10 Maximum =     10 Minumum =     10 (us), Seconds: 
Last instance period =     12 Maximum =     12 Minumum =     10 (us), Seconds: 
Last instance period =     33 Maximum =     33 Minumum =     10 (us), Seconds: 
Last instance period =     25 Maximum =     33 Minumum =     10 (us), Seconds: 
Last instance period =     11 Maximum =     33 Minumum =     10 (us), Seconds: 
Last instance period =      8 Maximum =     33 Minumum =      8 (us), Seconds: 
Last instance period =     25 Maximum =     33 Minumum =      8 (us), Seconds: 
Last instance period =     22 Maximum =     33 Minumum =      8 (us), Seconds: 
Last instance period =     18 Maximum =     33 Minumum =      8 (us), Seconds: 
Last instance period =      6 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =     10 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      6 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =     11 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      7 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =     20 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      8 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      9 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      6 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =     11 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      6 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      9 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      6 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      9 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      6 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      9 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      6 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =     20 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =     13 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =     10 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =     11 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =     11 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      8 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =     12 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      9 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      9 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      7 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =     10 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =      7 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =     21 Maximum =     33 Minumum =      6 (us), Seconds: 
Last instance period =     90 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =     13 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =     18 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =     11 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =     10 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =     11 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =     11 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =     20 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =     19 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =      9 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =     20 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =      7 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =     30 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =      6 Maximum =     90 Minumum =      6 (us), Seconds: 
Last instance period =     43 Maximum =     90 Minumum =      6 (us), Seconds: 
