Last instance period =      1 Maximum =      1 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      2 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      3 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      3 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      4 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      4 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      4 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      4 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      4 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      4 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      4 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      4 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      4 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      5 Minumum =      1 (us), Seconds: 
Last instance period =      6 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
This is the worst case scenario and also the worst resource usage
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      6 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      6 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      6 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =      6 Minumum =      1 (us), Seconds: 
Last instance period =     39 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      6 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
This is the worst case scenario and also the worst resource usage
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      2 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      1 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      5 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      3 Maximum =     39 Minumum =      1 (us), Seconds: 
Last instance period =      4 Maximum =     39 Minumum =      1 (us), Seconds: 
