Pipe created successfully
Pipe created successfully
God task created successfully
User Interaction task created successfully
Semaphore created successfully
Tower task started!
Tower task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Monster task started!
Last instance period =    321 Maximum =    321 Minumum =    321 (us), Seconds: 
Last instance period =    202 Maximum =    321 Minumum =    202 (us), Seconds: 
Last instance period =    315 Maximum =    321 Minumum =    202 (us), Seconds: 
Last instance period =    282 Maximum =    321 Minumum =    202 (us), Seconds: 
Last instance period =    320 Maximum =    321 Minumum =    202 (us), Seconds: 
Last instance period =    333 Maximum =    333 Minumum =    202 (us), Seconds: 
Last instance period =    184 Maximum =    333 Minumum =    184 (us), Seconds: 
Last instance period =    178 Maximum =    333 Minumum =    178 (us), Seconds: 
Last instance period =    465 Maximum =    465 Minumum =    178 (us), Seconds: 
Last instance period =    183 Maximum =    465 Minumum =    178 (us), Seconds: 
Last instance period =    188 Maximum =    465 Minumum =    178 (us), Seconds: 
Last instance period =    210 Maximum =    465 Minumum =    178 (us), Seconds: 
Last instance period =    346 Maximum =    465 Minumum =    178 (us), Seconds: 
Last instance period =    227 Maximum =    465 Minumum =    178 (us), Seconds: 
Last instance period =    197 Maximum =    465 Minumum =    178 (us), Seconds: 
Last instance period =    200 Maximum =    465 Minumum =    178 (us), Seconds: 
Last instance period =    326 Maximum =    465 Minumum =    178 (us), Seconds: 
Last instance period =    206 Maximum =    465 Minumum =    178 (us), Seconds: 
Last instance period =    208 Maximum =    465 Minumum =    178 (us), Seconds: 
Last instance period =    571 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    428 Maximum =    571 Minumum =    178 (us), Seconds: 
Monster task started!
Last instance period =    244 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    245 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    245 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    238 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    244 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    217 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    240 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    260 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    218 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    214 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    236 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    241 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    212 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    212 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    217 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    335 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    280 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    227 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    285 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    405 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    369 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    225 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    227 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    366 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    242 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    227 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    198 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    358 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    211 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    241 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    232 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    213 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    243 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    205 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    236 Maximum =    571 Minumum =    178 (us), Seconds: 
Last instance period =    408 Maximum =    571 Minumum =    178 (us), Seconds: 
