Pipe created successfully
Pipe created successfully
God task created successfully
Last instance period =     19 Maximum =     19 Minumum =     19 (us), Seconds: 
Last instance period =     15 Maximum =     19 Minumum =     15 (us), Seconds: 
Last instance period =      6 Maximum =     19 Minumum =      6 (us), Seconds: 
Last instance period =      8 Maximum =     19 Minumum =      6 (us), Seconds: 
Last instance period =     14 Maximum =     19 Minumum =      6 (us), Seconds: 
Last instance period =     17 Maximum =     19 Minumum =      6 (us), Seconds: 
Last instance period =     14 Maximum =     19 Minumum =      6 (us), Seconds: 
Last instance period =     15 Maximum =     19 Minumum =      6 (us), Seconds: 
Last instance period =     15 Maximum =     19 Minumum =      6 (us), Seconds: 
Last instance period =     16 Maximum =     19 Minumum =      6 (us), Seconds: 
Last instance period =     16 Maximum =     19 Minumum =      6 (us), Seconds: 
Last instance period =     21 Maximum =     21 Minumum =      6 (us), Seconds: 
Last instance period =     15 Maximum =     21 Minumum =      6 (us), Seconds: 
Last instance period =     15 Maximum =     21 Minumum =      6 (us), Seconds: 
Last instance period =      5 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     15 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     15 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     15 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     16 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     13 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =      7 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     15 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     19 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     16 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     16 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     13 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =      5 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     11 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     15 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     15 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     21 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     13 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =      5 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =      5 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =      5 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     12 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     13 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     13 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     16 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     13 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =      5 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =      6 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     15 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     15 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     16 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     16 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     15 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     13 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =      5 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     15 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     16 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     14 Maximum =     21 Minumum =      5 (us), Seconds: 
Last instance period =     20 Maximum =     21 Minumum =      5 (us), Seconds: 
